Fecha;Concepto;Proveedor;Moneda;Monto;TC;Monto en USD;Origen;Forma;Destino;Tipo Comprobante;Comp. No.;Recibo;Estado del Pago;Vencimiento;Cheque No.;Fecha de Pago;Ref. Operaci¢n;ID Mes Registro;ID Registro;Proyecto;ID Mes Pago;Categor¡a;éltimo Registro: 3717;éltimo en Costos: 3626 (Obsoleto);;;;;;;
15/12/17;Materiales y Electricista;Particular;UYU;6.300,00;28,88;218,18;Javier;Efectivo;Gastos;Sin Comp.;N/A;N/A;;;;;;;30;;;;;;;;;;;;
17/12/17;Aporte de Capital;PSS;USD;5.000,00;1,00;5.000,00;Javier;Transf. Ita£ Javier;Aporte de Capital;Sin Comp.;N/A;N/A;;;;;;;31;;;2;;;;;;;;;
17/12/17;Aporte de Capital;PSS;UYU;40.000,00;28,88;1.385,28;Javier;Transf. Ita£ Javier;Aporte de Capital;Sin Comp.;N/A;N/A;;;;;;;32;;;2;;;;;;;;;
18/12/17;Debito Banking Card;ITAU;UYU;889,98;28,82;30,89;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;;;33;;;;;;;;;;;;
18/12/17;Certificaciones para RUPE;Esc. Wortman;UYU;4.636,00;28,82;160,89;PSS;Cheque PSS - Ita£ UYU;Gastos;Cr‚dito;1212;416;;;87626;;;;34;;;;;;;;;;;;
19/12/17;Debito Chequera UYU;ITAU;UYU;1.200,00;28,79;41,69;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;;;35;;;;;;;;;;;;
19/12/17;Debito Chequera USD;ITAU;USD;30,00;1,00;30,00;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;;;36;;;;;;;;;;;;
20/12/17;Carlos Gutierrez;Carlos Gutierrez S.A.;UYU;13.965,00;28,76;485,65;Javier;Efectivo;Muebles y étiles;Boleta;175199;N/A;;;;;;;37;;;;;;;;;;;;
21/12/17;ANTEL 9Nov-8Dic;ANTEL;UYU;209,53;28,83;7,27;PSS;Paganza PSS - Ita£ UYU;Serv. Publicos;Sin Comp.;N/A;N/A;;;;;;;38;;;;;;;;;;;;
22/12/17;Estuches Dominguez;Los Dominguez S.A.;UYU;9.240,00;28,78;321,11;Javier;Cr‚dito Visa Javier;Gastos;Boleta;11327;N/A;;;;;;;39;;;;;;;;;;;;
22/12/17;Almuerzo;Arecenter S.A.;UYU;1.298,00;28,78;45,11;Javier;D‚bito Ita£ Javier;Gastos;Boleta;32164;N/A;;;;;;;40;;;;;;;;;;;;
24/12/17;Lunch ;Trisol S.A.;UYU;2.551,00;28,78;88,65;Javier;Cr‚dito Visa Javier;Gastos;Boleta;111317;N/A;;;;;;;41;;;;;;;;;;;;
02/01/18;Compra Fax Mercado Libre;Particular;USD;100,00;1,00;100,00;Javier;Efectivo;Muebles y étiles;Sin Comp.;N/A;N/A;;;;;;;42;;;;;;;;;;;;
02/01/18;Compra Inalambricos Mercado Libre;Particular;USD;50,00;1,00;50,00;Javier;Efectivo;Muebles y étiles;Sin Comp.;N/A;N/A;;;;;;;43;;;;;;;;;;;;
05/01/18;Limpieza Ene.18;Sra. Magela;UYU;1.200,00;28,68;41,85;Javier;Efectivo;Gastos;Sin Comp.;N/A;N/A;;;;;;;44;;;;;;;;;;;;
